City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Namibe,AO,75.52,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
9,North Platte,US,75.2,clear sky,41.1239,-100.7654,Holiday Inn Express & Suites North Platte
10,Olinda,BR,78.8,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
12,Tebingtinggi,ID,77.0,scattered clouds,3.3285,99.1625,Hotel Malibou tebing tinggi
17,Hithadhoo,MV,82.44,broken clouds,-0.6,73.0833,Scoop Guest House
20,Bahia Honda,CU,77.05,few clouds,22.9036,-83.1592,Casa Gualberto - Deysi
22,Vaini,TO,82.4,light rain,-21.2,-175.2,Keleti Beach Resort
24,Rikitea,PF,78.01,scattered clouds,-23.1203,-134.9692,Pension Maro'i
27,Avarua,CK,82.4,few clouds,-21.2078,-159.775,Paradise Inn
33,Ejura,GH,75.9,broken clouds,7.3856,-1.3562,Fire Servece
39,Saint-Philippe,RE,77.0,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
41,Carutapera,BR,76.15,scattered clouds,-1.195,-46.02,Lidera
45,Mitsamiouli,KM,80.58,overcast clouds,-11.3847,43.2844,Foyer ADM
56,Puerto Baquerizo Moreno,EC,75.33,clear sky,-0.9,-89.6,Hotel los Algarrobos
68,Puerto Ayora,EC,75.36,clear sky,-0.7393,-90.3518,Finch Bay Galapagos Hotel
69,Atuona,PF,80.13,broken clouds,-9.8,-139.0333,Villa Enata
73,Souillac,MU,75.2,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
74,Yenagoa,NG,78.33,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
75,Bambous Virieux,MU,75.2,light rain,-20.3428,57.7575,Casa Tia Villa
81,Carnarvon,AU,78.8,clear sky,-24.8667,113.6333,Hospitality Carnarvon
85,Saint-Pierre,RE,77.0,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
99,Namibe,AO,75.52,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
103,Butaritari,KI,83.1,few clouds,3.0707,172.7902,Isles Sunset Lodge
108,Acapulco,MX,82.4,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
120,Malusac,PH,82.4,broken clouds,14.8587,120.6215,SAROMA
125,Hilo,US,75.2,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
126,Kapaa,US,78.8,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
138,Cabo San Lucas,MX,78.01,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
139,Saint George,US,77.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
142,Faanui,PF,81.34,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
145,Morant Bay,JM,80.6,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
157,Iquitos,PE,80.6,scattered clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
168,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,Atlantis Hotel
177,San Policarpo,PH,81.32,clear sky,12.1791,125.5072,JM Lodge
180,Naze,JP,75.2,broken clouds,28.3667,129.4833,奄美ポートタワーホテル
186,Kutiyana,IN,82.08,clear sky,21.6233,69.9817,દેવંગી પાન
189,Salalah,OM,80.6,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
192,Touros,BR,78.8,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
193,Matara,LK,78.8,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
194,Hervey Bay,AU,77.0,few clouds,-25.2986,152.8535,Shelly Bay Resort
205,Brownsville,US,77.0,clear sky,25.9018,-97.4975,University Inn & Suites
208,Kavieng,PG,83.68,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
212,Umm Lajj,SA,78.73,clear sky,25.0213,37.2685,Moon light Furnished Units
223,Mahebourg,MU,75.2,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
225,Kilindoni,TZ,79.02,light rain,-7.9139,39.6668,Bustani B&B
226,Paka,MY,82.4,few clouds,4.6374,103.4368,RUMBIA RESORT VILLA
229,Hobyo,SO,82.85,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
231,Sarangani,PH,83.79,overcast clouds,5.4033,125.4636,Ballistic Islet
232,Makakilo City,US,82.4,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
233,Bowen,AU,77.0,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
234,Harper,LR,76.24,overcast clouds,4.375,-7.7169,Screensaver
237,Kahului,US,78.8,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
238,Boa Vista,BR,80.6,light rain,2.8197,-60.6733,Aipana Plaza Hotel
241,Berbera,SO,83.91,light rain,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
249,Hirara,JP,75.2,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
253,Bambanglipuro,ID,83.44,clear sky,-7.95,110.2833,Puri Brata
264,Manokwari,ID,82.04,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
274,Payo,ID,83.44,broken clouds,-3.7508,103.6372,Mess keban agung
275,Baghdad,IQ,77.0,clear sky,33.3406,44.4009,Baghdad Hotel
287,La Reforma,MX,80.01,overcast clouds,25.0833,-108.05,Arremar Angostura
289,Shadegan,IR,77.0,mist,30.6497,48.6647,مسافر خانه ابو ولید
290,Amli,IN,83.28,clear sky,20.2833,73.0167,Hotel Soubhagya Inn
295,Sunrise Manor,US,75.99,clear sky,36.2111,-115.0731,Comfort Inn & Suites Las Vegas - Nellis
297,Meulaboh,ID,81.88,overcast clouds,4.1363,96.1285,Kost Pria
302,Yeppoon,AU,78.8,scattered clouds,-23.1333,150.7333,Villa Mar Colina
306,San Cristobal,VE,78.8,broken clouds,7.7669,-72.225,Posada Villaven C.A.
307,Tecoanapa,MX,81.48,broken clouds,16.5167,-98.75,Hotel Manglares
310,Takoradi,GH,79.57,light rain,4.8845,-1.7554,Raybow International Hotel
318,Yanam,IN,82.4,mist,16.7333,82.2167,The Regency Hotel
323,Bubaque,GW,77.54,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
326,Mattru,SL,77.13,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
330,Sai Buri,TH,78.8,few clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
337,Isangel,VU,82.4,broken clouds,-19.55,169.2667,Tanna Lodge
339,Nuevo Progreso,MX,78.01,scattered clouds,23.1667,-97.95,Balneario Rio el Paraiso
348,Port Blair,IN,80.6,mist,11.6667,92.75,Welcomhotel Bay Island Port Blair
351,Pundaguitan,PH,83.05,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
355,Poum,NC,77.36,broken clouds,-20.2333,164.0167,Gîte kajeon
361,Tabou,CI,76.24,overcast clouds,4.423,-7.3528,hotêl doufoulougou
367,Victoria,HK,75.0,overcast clouds,22.2855,114.1577,Mini Hotel Central
