City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Aasiaat,GL,2021-04-26 01:30:11,68.7098,-52.8699,33.31,84,100,5.3,overcast clouds
1,Thompson,CA,2021-04-26 01:26:33,55.7435,-97.8558,32.0,93,90,7.23,light snow
2,Punta Arenas,CL,2021-04-26 01:30:12,-53.15,-70.9167,48.2,87,75,3.44,light rain
3,Lagoa,PT,2021-04-26 01:30:12,39.05,-27.9833,59.16,84,100,10.94,overcast clouds
4,Iskateley,RU,2021-04-26 01:30:12,67.6803,53.1512,37.22,93,100,6.2,overcast clouds
5,Cape Town,ZA,2021-04-26 01:30:13,-33.9258,18.4232,63.0,88,75,12.66,broken clouds
6,Namibe,AO,2021-04-26 01:30:13,-15.1961,12.1522,75.52,69,0,10.96,clear sky
7,Necochea,AR,2021-04-26 01:30:13,-38.5473,-58.7368,54.0,90,56,5.37,broken clouds
8,Port Alfred,ZA,2021-04-26 01:30:14,-33.5906,26.891,71.11,48,87,11.77,overcast clouds
9,North Platte,US,2021-04-26 01:30:14,41.1239,-100.7654,75.2,25,1,9.22,clear sky
10,Olinda,BR,2021-04-26 01:30:14,-8.0089,-34.8553,78.8,73,40,6.91,scattered clouds
11,Arraial Do Cabo,BR,2021-04-26 01:30:15,-22.9661,-42.0278,74.23,85,64,9.44,broken clouds
12,Tebingtinggi,ID,2021-04-26 01:30:15,3.3285,99.1625,77.0,100,40,4.61,scattered clouds
13,Sandnessjoen,NO,2021-04-26 01:30:15,66.0217,12.6316,32.0,93,75,3.44,broken clouds
14,Nikolskoye,RU,2021-04-26 01:30:15,59.7035,30.7861,37.99,87,75,8.95,broken clouds
15,Torbay,CA,2021-04-26 01:30:16,47.6666,-52.7314,42.01,65,1,13.8,clear sky
16,Lokosovo,RU,2021-04-26 01:30:16,61.1333,74.8167,38.21,82,72,11.07,broken clouds
17,Hithadhoo,MV,2021-04-26 01:30:16,-0.6,73.0833,82.44,68,60,4.56,broken clouds
18,Isla Vista,US,2021-04-26 01:30:16,34.4133,-119.861,57.0,82,90,16.11,light rain
19,Punta Arenas,CL,2021-04-26 01:30:12,-53.15,-70.9167,48.2,87,75,3.44,light rain
20,Bahia Honda,CU,2021-04-26 01:30:51,22.9036,-83.1592,77.05,81,18,2.35,few clouds
21,Sawtell,AU,2021-04-26 01:32:03,-30.3833,153.1,69.8,64,8,11.5,clear sky
22,Vaini,TO,2021-04-26 01:32:04,-21.2,-175.2,82.4,78,75,6.91,light rain
23,Mataura,NZ,2021-04-26 01:32:04,-46.1927,168.8643,46.99,88,100,17.0,overcast clouds
24,Rikitea,PF,2021-04-26 01:32:04,-23.1203,-134.9692,78.01,75,28,5.97,scattered clouds
25,Khatanga,RU,2021-04-26 01:32:05,71.9667,102.5,13.82,92,100,14.7,light snow
26,Vitry-Le-Francois,FR,2021-04-26 01:27:26,48.7333,4.5833,48.2,46,0,12.66,clear sky
27,Avarua,CK,2021-04-26 01:32:05,-21.2078,-159.775,82.4,74,20,10.36,few clouds
28,Chokurdakh,RU,2021-04-26 01:32:05,70.6333,147.9167,28.58,95,100,13.53,light snow
29,Margate,GB,2021-04-26 01:32:06,51.3813,1.3862,43.0,70,9,4.0,clear sky
30,Shimanovsk,RU,2021-04-26 01:32:06,52.0,127.7,57.7,25,100,11.43,overcast clouds
31,Horsham,GB,2021-04-26 01:32:06,51.064,-0.3272,41.0,70,0,11.5,clear sky
32,Bluff,NZ,2021-04-26 01:32:07,-46.6,168.3333,46.99,88,96,17.0,overcast clouds
33,Ejura,GH,2021-04-26 01:32:07,7.3856,-1.3562,75.9,88,61,5.03,broken clouds
34,Dikson,RU,2021-04-26 01:32:07,73.5069,80.5464,17.53,93,100,16.28,light snow
35,Norman Wells,CA,2021-04-26 01:32:07,65.282,-126.8329,37.4,41,20,11.5,few clouds
36,Springbok,ZA,2021-04-26 01:32:08,-29.6643,17.8865,59.27,48,98,2.33,overcast clouds
37,Upernavik,GL,2021-04-26 01:32:08,72.7868,-56.1549,27.91,78,61,4.07,broken clouds
38,Ushuaia,AR,2021-04-26 01:32:08,-54.8,-68.3,46.4,81,90,20.71,light intensity drizzle
39,Saint-Philippe,RE,2021-04-26 01:32:09,-21.3585,55.7679,77.0,69,90,13.8,light rain
40,Cape Town,ZA,2021-04-26 01:30:13,-33.9258,18.4232,63.0,88,75,12.66,broken clouds
41,Carutapera,BR,2021-04-26 01:32:09,-1.195,-46.02,76.15,91,32,5.14,scattered clouds
42,Takhtamygda,RU,2021-04-26 01:32:09,54.1,123.5667,52.29,46,100,4.52,overcast clouds
43,Tuy Hoa,VN,2021-04-26 01:32:09,13.0833,109.3,86.25,65,14,3.87,few clouds
44,Gorele,TR,2021-04-26 01:32:10,41.0308,39.0031,53.6,87,75,6.91,broken clouds
45,Mitsamiouli,KM,2021-04-26 01:32:10,-11.3847,43.2844,80.58,76,100,3.91,overcast clouds
46,Brigantine,US,2021-04-26 01:32:10,39.4101,-74.3646,57.2,62,1,6.91,clear sky
47,Arroyo,ES,2021-04-26 01:32:10,41.6096,-4.7969,51.01,93,20,4.61,few clouds
48,Nerchinsk,RU,2021-04-26 01:32:10,51.9833,116.5833,49.71,57,100,7.36,overcast clouds
